20091215224253,,,,,,,,,,,,,,,,,,
Source food composition tables : Norwegian Food Composition Table 2006 - http://matportalen.no/matvaretabellen,,,,,,,,,,,,,,,,,,
1188,,,,,,,,,,,,,,,,,,
Åbor| rå,grams,100,84.00,18.10,0.00,1.3,,,,,,,,,,,,
Agurk| norsk| rå  ,grams,100,10.00,0.80,1.20,0.1,,,,,,,,,,,,
Agurker| syltede,grams,100,37.00,0.70,6.10,0.7,,,,,,,,,,,,
Akkar| innbakt| forfritert| fryst,grams,100,212.00,11.20,18.60,10.1,,,,,,,,,,,,
Akkar| innbakt| forfritert| stekt i soyaolje,grams,100,278.00,10.90,18.00,17.8,,,,,,,,,,,,
Akkar| tiarmet blekksprut| kokt,grams,100,150.00,30.20,0.00,3.3,,,,,,,,,,,,
Akkar| tiarmet blekksprut| rå,grams,100,77.00,15.40,0.00,1.7,,,,,,,,,,,,
Ål| rå,grams,100,362.00,17.30,0.00,32.5,,,,,,,,,,,,
Ål| røkt,grams,100,326.00,18.60,0.00,28,,,,,,,,,,,,
Ananas| hermetisk| med egen saft,grams,100,52.00,0.30,12.20,0,,,,,,,,,,,,
Ananas| hermetisk| med sukkerlake,grams,100,70.00,0.50,16.50,0,,,,,,,,,,,,
Ananas| rå,grams,100,47.00,0.40,10.10,0.2,,,,,,,,,,,,
And| kjøtt med skinn| ovnstekt,grams,100,517.00,17.50,0,49.7,,,,,,,,,,,,
And| kjøtt med skinn| rå,grams,100,388.00,13.10,0.00,37.3,,,,,,,,,,,,
And| kjøtt uten skinn| ovnsstekt,grams,100,184.00,26.30,0,8.7,,,,,,,,,,,,
And| kjøtt uten skinn| rå ,grams,100,137.00,19.70,0.00,6.5,,,,,,,,,,,,
Ansjos| hermetisk,grams,100,216.00,12.50,12.10,13.1,,,,,,,,,,,,
Appelsin| rå,grams,100,37.00,0.90,7.20,0.1,,,,,,,,,,,,
Appelsinjuice,grams,100,43.00,0.60,10.00,0,,,,,,,,,,,,
Appelsinsaft| drikkeferdig,grams,100,34.00,0.10,8.40,0,,,,,,,,,,,,
Appelsinsaft| ublandet,grams,100,169.00,0.50,41.80,0,,,,,,,,,,,,
Aprikos| hermetisk| med sukkerlake,grams,100,69.00,0.40,16.10,0.1,,,,,,,,,,,,
Aprikos| rå,grams,100,36.00,0.90,7.20,0.1,,,,,,,,,,,,
Aprikos| tørket,grams,100,242.00,4.80,43.40,0.7,,,,,,,,,,,,
Artiskokk| rå,grams,100,27.00,2.80,1.30,0.2,,,,,,,,,,,,
Asparges| hermetisk| avrent,grams,100,24.00,3.10,1.70,0.2,,,,,,,,,,,,
Asparges| rå,grams,100,22.00,3.10,1.10,0.2,,,,,,,,,,,,
Aubergine| rå,grams,100,23.00,1.20,2.20,0.5,,,,,,,,,,,,
Avocado| rå,grams,100,196.00,1.90,0.50,19.5,,,,,,,,,,,,
Baconcrisp,grams,100,606.00,47.90,0.20,46,,,,,,,,,,,,
Baconost| smørbar,grams,100,226.00,16.00,0.00,18,,,,,,,,,,,,
Baguett fin| halvstekt type| stekt,grams,100,260.00,9.90,50.60,1.4,,,,,,,,,,,,
Bakepulver,grams,100,157.00,5.20,34.00,0,,,,,,,,,,,,
Banan| rå,grams,100,83.00,1.10,18.10,0.3,,,,,,,,,,,,
Bankekjøtt| salt,grams,100,102.00,15.90,0.00,4.3,,,,,,,,,,,,
Bayonneskinke| kokt,grams,100,228.00,21.20,0.00,15.9,,,,,,,,,,,,
Berlinerbolle| kjøpt,grams,100,323.00,6.30,42.80,13.6,,,,,,,,,,,,
Bernaisesaus| av pulver| tilberedt,grams,100,225.00,2.50,6.50,21,,,,,,,,,,,,
Betasuppe| av pulver| tilberedt ,grams,100,45.00,1.50,7.50,0.5,,,,,,,,,,,,
Biff stroganoff,grams,100,245.00,15.00,3.50,18.9,,,,,,,,,,,,
Biola| syrnet melk| blåbær| mager,grams,100,44.00,3.20,4.40,1.5,,,,,,,,,,,,
Biola| syrnet melk| naturell,grams,100,44.00,3.20,4.40,1.5,,,,,,,,,,,,
Birkebeinerbrød| kjøpt,grams,100,240.00,8.30,42.40,2.8,,,,,,,,,,,,
Bjørnebær| rå,grams,100,43.00,0.70,6.40,0.4,,,,,,,,,,,,
Blåbær| rå,grams,100,51.00,1.00,7.50,0.9,,,,,,,,,,,,
Bladsalat| norsk| rå,grams,100,10.00,1.20,0.70,0.1,,,,,,,,,,,,
Blåkveite| rå,grams,100,189.00,17.60,0.00,13.2,,,,,,,,,,,,
Blålange| rå,grams,100,64.00,15.70,0.00,0.1,,,,,,,,,,,,
Blåskjell| hermetisk| avrent,grams,100,86.00,15.80,0.00,2.5,,,,,,,,,,,,
Blåskjell| rå,grams,100,54.00,10.40,0.00,1.4,,,,,,,,,,,,
Blod| okse| rå,grams,100,77.00,18.80,0.00,0.2,,,,,,,,,,,,
Blodpudding,grams,100,261.00,10.10,24.30,13.7,,,,,,,,,,,,
Blomkål/brokkolisuppe| Rett i koppen| tilberedt ,grams,100,42.00,1.00,5.50,1.5,,,,,,,,,,,,
Blomkål| bønner| erter| gulrot| fryst,grams,100,36.00,2.40,4.30,0.3,,,,,,,,,,,,
Blomkål| erter| gulrot| fryst,grams,100,39.00,2.60,4.80,0.4,,,,,,,,,,,,
Blomkål| kokt,grams,100,24.00,1.90,2.30,0.2,,,,,,,,,,,,
Blomkål| norsk| fryst,grams,100,22.00,1.90,2.20,0.2,,,,,,,,,,,,
Blomkål| norsk| rå,grams,100,23.00,1.90,2.30,0.2,,,,,,,,,,,,
Blomkålsuppe| av pulver| tilberedt      ,grams,100,35.00,1.50,4.50,1,,,,,,,,,,,,
Bløtkake med krem| syltetøy ,grams,100,313.00,5.10,29.40,19.3,,,,,,,,,,,,
Bløtkake med krem| syltetøy| marsipanlokk,grams,100,368.00,5.30,29.10,25.2,,,,,,,,,,,,
Bogskinke| hermetisk              ,grams,100,135.00,16.80,0.00,7.2,,,,,,,,,,,,
Bokhvete| hele korn,grams,100,319.00,11.90,60.40,2,,,,,,,,,,,,
Bokhvete| mel| lyst,grams,100,332.00,7.10,70.40,2,,,,,,,,,,,,
Bønnegryte| vegetarisk   ,grams,100,67.00,4.60,9.90,0.4,,,,,,,,,,,,
Bønnekarbonader| stekt i soyaolje ,grams,100,202.00,7.00,13.70,12.5,,,,,,,,,,,,
Bønner grønne| fryst,grams,100,28.00,1.80,3.00,0.2,,,,,,,,,,,,
Bønner| brune| kokt,grams,100,123.00,8.80,17.40,0.6,,,,,,,,,,,,
Bønner| brune| tørre,grams,100,313.00,22.00,44.60,1.5,,,,,,,,,,,,
Bønner| grønne| rå,grams,100,27.00,1.70,3.40,0.1,,,,,,,,,,,,
Bønner| hvite| i tomatsaus| hermetisk,grams,100,95.00,4.80,14.30,0.6,,,,,,,,,,,,
Bønner| hvite| tørre,grams,100,300.00,22.00,41.40,1.6,,,,,,,,,,,,
Bønner| mung| tørre,grams,100,286.00,23.90,38.30,1.1,,,,,,,,,,,,
Bønner| røde| tørre,grams,100,276.00,22.10,36.70,1.4,,,,,,,,,,,,
Breiflabb filet| kokt,grams,100,80.00,19.80,0,0.1,,,,,,,,,,,,
Breiflabb| rå ,grams,100,64.00,15.80,0.00,0.1,,,,,,,,,,,,
Brelett                  ,grams,100,396.00,7.00,2.00,40,,,,,,,,,,,,
Brelett oliven,grams,100,396.00,7.00,2.00,40,,,,,,,,,,,,
Bremykt                    ,grams,100,746.00,1.00,1.00,82,,,,,,,,,,,,
Bremykt| flytende,grams,100,732.00,0.30,0.50,81,,,,,,,,,,,,
Brennevin| 40 vol-% alkohol,grams,100,243.00,0.00,2.00,0,,,,,,,,,,,,
Brennevin| 60 vol-% alkohol,grams,100,365.00,0.00,0.00,0,,,,,,,,,,,,
Brie| ost,grams,100,365.00,17.00,0.00,33,,,,,,,,,,,,
Bringebær| rå,grams,100,29.00,1.10,3.20,0.4,,,,,,,,,,,,
Brisling| i olje| hermetisk| avrent,grams,100,261.00,18.30,0.00,20.9,,,,,,,,,,,,
Brisling| i tomat| hermetisk,grams,100,203.00,15.00,2.70,14.7,,,,,,,,,,,,
Brisling| rå,grams,100,208.00,12.40,0.00,17.6,,,,,,,,,,,,
Brød| 1/2 sammalt mel| sk melk ,grams,100,230.00,9.60,42.00,1.4,,,,,,,,,,,,
Brød| 1/2 sammalt mel| vann ,grams,100,222.00,8.80,40.90,1.4,,,,,,,,,,,,
Brød| 1/3 sammalt mel| sk melk ,grams,100,232.00,9.40,43.10,1.4,,,,,,,,,,,,
Brød| 1/3 sammalt mel| vann ,grams,100,224.00,8.70,42.00,1.3,,,,,,,,,,,,
Brød| 1/4 sammalt mel| sk melk ,grams,100,232.00,9.40,43.70,1.3,,,,,,,,,,,,
Brød| 1/4 sammalt mel| vann ,grams,100,225.00,8.60,42.60,1.3,,,,,,,,,,,,
Brød| 100% sammalt mel| sk melk ,grams,100,234.00,10.80,39.80,1.7,,,,,,,,,,,,
Brød| 100% sammalt mel| vann ,grams,100,219.00,9.20,37.60,1.7,,,,,,,,,,,,
Brød| 2/3 sammalt mel| sk melk ,grams,100,237.00,10.50,42.00,1.6,,,,,,,,,,,,
Brød| 2/3 sammalt mel| vann ,grams,100,222.00,9.00,39.80,1.5,,,,,,,,,,,,
Brød| 3/4 sammalt mel| sk melk ,grams,100,237.00,10.60,41.50,1.6,,,,,,,,,,,,
Brød| 3/4 sammalt mel| vann ,grams,100,221.00,9.00,39.30,1.5,,,,,,,,,,,,
Brød| grovbakst| 40% sammalt mel,grams,100,239.00,8.40,42.80,2.6,,,,,,,,,,,,
Brokkoli| fryst,grams,100,27.00,2.80,1.90,0.3,,,,,,,,,,,,
Brokkoli| importert| rå,grams,100,28.00,2.80,2.10,0.3,,,,,,,,,,,,
Brokkoli| kokt,grams,100,30.00,3.20,2.10,0.3,,,,,,,,,,,,
Brokkoli| norsk| rå,grams,100,28.00,3.20,1.90,0.3,,,,,,,,,,,,
Brokkoli| uspesifisert| rå,grams,100,29.00,3.00,2.10,0.3,,,,,,,,,,,,
Brosme| rå,grams,100,66.00,16.10,0.00,0.2,,,,,,,,,,,,
Brownies med sjokoladeglasur| kjøpt,grams,100,421.00,4.00,54.20,20.2,,,,,,,,,,,,
Brun saus| av blokk| tilberedt ,grams,100,58.00,1.00,5.50,3.5,,,,,,,,,,,,
Brun saus| kjøttkakesaus| av pulver| tilberedt,grams,100,35.00,1.00,5.50,1,,,,,,,,,,,,
Brun saus| med løk| av pulver| tilberedt,grams,100,40.00,1.00,5.50,1.5,,,,,,,,,,,,
Brunost| Ekte geitost ,grams,100,443.00,12.00,38.00,27,,,,,,,,,,,,
Brunost| Fløtemysost,grams,100,439.00,11.00,38.00,27,,,,,,,,,,,,
Brunost| Fløtemysost| lettere,grams,100,380.00,11.00,48.00,16,,,,,,,,,,,,
Brunost| Gudbrandsdalsost ,grams,100,461.00,11.00,39.00,29,,,,,,,,,,,,
Brunost| Gudbrandsdalsost| lettere,grams,100,380.00,11.00,48.00,16,,,,,,,,,,,,
Brunost| Litago,grams,100,439.00,11.00,38.00,27,,,,,,,,,,,,
Brunost| uspesifisert type,grams,100,451.00,11,40.10,27.4,,,,,,,,,,,,
Brus| kunstig søtet| light| lett ,grams,100,0.00,0.00,0.00,0,,,,,,,,,,,,
Brus| med sukker ,grams,100,40.00,0.00,10.00,0,,,,,,,,,,,,
Bulgurgryn| kokt,grams,100,176.00,4.30,27.70,4.7,,,,,,,,,,,,
Bulgurgryn| tørr,grams,100,329.00,10.80,62.50,2.3,,,,,,,,,,,,
Buljong| kjøtt| tilberedt,grams,100,3.00,0.40,0.10,0.1,,,,,,,,,,,,
Buljongpulver ,grams,100,144.00,17.00,9.00,4.5,,,,,,,,,,,,
Burgerost ,grams,100,344.00,23.00,0.00,28,,,,,,,,,,,,
Byggmel,grams,100,302.00,8.60,60.60,1.1,,,,,,,,,,,,
Byggryn,grams,100,317.00,8.60,62.90,1.1,,,,,,,,,,,,
Camembert ost| lettere,grams,100,199.00,25.00,0.10,11,,,,,,,,,,,,
Camembert| ost,grams,100,319.00,19.00,0.00,27,,,,,,,,,,,,
Cashewnøtter| uten salt,grams,100,589.00,17.70,18.10,48.2,,,,,,,,,,,,
Chapatti brød| sammalt mel,grams,100,235.00,9.70,40.60,1.8,,,,,,,,,,,,
Cheddar| ost,grams,100,392.00,26.00,0.00,32,,,,,,,,,,,,
Cheeseburger| med brød| dressing mv| kjøpt,grams,100,249.00,13.40,24.30,10.6,,,,,,,,,,,,
Cherimoya| rå,grams,100,60.00,1.30,11.70,0.4,,,,,,,,,,,,
Corn flakes,grams,100,371.00,7.90,81.60,0.7,,,,,,,,,,,,
Corn flakes| søt| type Frosties,grams,100,377.00,5.20,86.00,0.9,,,,,,,,,,,,
Cottage Cheese ost,grams,100,96.00,12.70,1.50,4.3,,,,,,,,,,,,
