20100125225233,,,,,,,,,,,,,,,,,,
Food Standards Australia New Zealand,,,,,,,,,,,,,,,,,,
2597,,,,,,,,,,,,,,,,,,
Acacia Acradenia| Seed,grams,100,162,23.20,0.00,7.6,,,,,,,,,,,,
Acacia Adsurgens| Seed,grams,100,340,24.50,0.00,17.7,,,,,,,,,,,,
Acacia Aneura| Mulga| Seed,grams,100,170,25.40,0.00,7.6,,,,,,,,,,,,
Acacia Concurrens| Seed,grams,100,252,23.30,0.00,17.8,,,,,,,,,,,,
Acacia Coriacea| Dogwood| Seed,grams,100,141,23.70,0.00,3.3,,,,,,,,,,,,
Acacia Cowleana| Seed,grams,100,280,23.80,0.00,11,,,,,,,,,,,,
Acacia Crassicarpa| Seed,grams,100,26,0.00,0.00,2.9,,,,,,,,,,,,
Acacia Dictyophleba| Seed,grams,100,244,23.70,0.00,7.3,,,,,,,,,,,,
Acacia Estrophiolata| Ironwood| Seed,grams,100,148,28.90,0.00,3.5,,,,,,,,,,,,
Acacia Farnesiana| Prickly Moses| Seed,grams,100,175,36.60,0.00,3,,,,,,,,,,,,
Acacia Holosericea| Seed,grams,100,234,24.60,0.00,7.7,,,,,,,,,,,,
Acacia Kempeana| Witchetty Bush| Seed,grams,100,246,24.00,0.00,10.2,,,,,,,,,,,,
Acacia Ligulata| Umbrella Bush| Seed,grams,100,245,24.00,0.00,9.1,,,,,,,,,,,,
Acacia Longifolia| Seed,grams,100,156,16.30,0.00,10.2,,,,,,,,,,,,
Acacia Lysiphloia| Seed,grams,100,181,23.80,0.00,9.5,,,,,,,,,,,,
Acacia Maitlandii| Seed,grams,100,135,28.50,0.00,2.2,,,,,,,,,,,,
Acacia Monticola| Seed,grams,100,78,11.20,0.00,3.7,,,,,,,,,,,,
Acacia Murrayana| Colony Wattle| Seed,grams,100,183,20.10,0.00,5.2,,,,,,,,,,,,
Acacia Oswaldii| Umbrella Wattle| Seed,grams,100,304,22.50,0.00,10.9,,,,,,,,,,,,
Acacia Pachycarpa| Desert Acacia| Seed,grams,100,163,22.20,0.00,8.3,,,,,,,,,,,,
Acacia Podalyriifolia| Seed,grams,100,130,20.80,0.00,5.2,,,,,,,,,,,,
Acacia Stipuligera| Seed,grams,100,276,23.10,0.00,13.2,,,,,,,,,,,,
Acacia Tenuissima| Seed,grams,100,278,22.60,0.00,15.5,,,,,,,,,,,,
Acacia Tetragonophylla| Dead Finish| Seed,grams,100,251,17.50,0.00,20.4,,,,,,,,,,,,
Acacia Torulosa| Seed,grams,100,87,16.70,0.00,2.1,,,,,,,,,,,,
Acacia Victoriae| Gundabluey| Seed,grams,100,156,17.50,0.00,3.2,,,,,,,,,,,,
Acanthopleura Spinosa| Spiny Chiton| Flesh,grams,100,108,19.20,0.00,3.4,,,,,,,,,,,,
Achyranthes Aspera| Chaff Flower| Leaf,grams,100,22,5.30,0.00,0,,,,,,,,,,,,
Acmena Hemilampra| Cassowary Gum| Fruit,grams,100,11,1.60,0.00,0.5,,,,,,,,,,,,
Acmena Smithii| Lillypilly| Fruit,grams,100,4,0.30,0.00,0.1,,,,,,,,,,,,
Acrochordus Sp.| File Snake| Flesh,grams,100,98,16.10,0.00,3.7,,,,,,,,,,,,
Acronychia Acronychoides| White Aspen| Fruit,grams,100,27,0.50,0.00,2.8,,,,,,,,,,,,
Acronychia Crassipetala| Crater Aspen| Fruit,grams,100,15,1.30,0.00,1.1,,,,,,,,,,,,
Adansonia Gregorii| Boab| Pulp,grams,100,85,4.60,0.00,1.9,,,,,,,,,,,,
Adansonia Gregorii| Boab| Seed Embedded In Pulp,grams,100,150,13.90,0.00,6.1,,,,,,,,,,,,
Agaricus Arvensis| Horse Mushroom| Fungus,grams,100,26,5.60,0.00,0.4,,,,,,,,,,,,
Agaricus Campestris| Field Mushroom| Fungus,grams,100,29,6.00,0.00,0.5,,,,,,,,,,,,
Agaricus Sp.| Field Mushroom| Fungas,grams,100,24,5.20,0.00,0.3,,,,,,,,,,,,
Agrotis Infusa| Bogong Moth| Abdomen,grams,100,431,21.70,0.00,38.8,,,,,,,,,,,,
Agrotis Infusa| Bogong Moth| Whole Insect,grams,100,281,24.20,0.00,20.6,,,,,,,,,,,,
Agrotis Infusa| Bogong Moth| Wings,grams,100,185,30.50,0.00,6.9,,,,,,,,,,,,
Aleurites Moluccana| Candle Nut| Kernel,grams,100,473,7.80,0.00,49.9,,,,,,,,,,,,
Aleurites Moluccana| Candle Nut| Kernel Cooked,grams,100,631,20.60,0.00,61.9,,,,,,,,,,,,
Aleurites Moluccana| Candle Nut| Kernel Treated,grams,100,6,0.50,0.00,0.5,,,,,,,,,,,,
Alfalfa| Sprout| Raw,grams,100,22,3.20,0.50,0.3,,,,,,,,,,,,
Almond| Blanched,grams,100,606,20.40,3.90,55.5,,,,,,,,,,,,
Almond| Chocolate-Coated| Confectionery,grams,100,574,15.00,27.70,44.8,,,,,,,,,,,,
Almond| Sugar-Coated| Confectionery,grams,100,527,13.00,36.50,36.5,,,,,,,,,,,,
Almond| With Skin,grams,100,598,19.50,4.80,54.7,,,,,,,,,,,,
Aloo Muttar (Potato And Pea Curry)| Indian Restaurant Style,grams,100,107,7.00,5.50,6.4,,,,,,,,,,,,
Alpinia Caerulea| Wild Ginger| Fruit,grams,100,31,2.20,0.00,2.5,,,,,,,,,,,,
Amorphophallus Paeoniifolius| Tuber,grams,100,17,1.50,0.00,0.3,,,,,,,,,,,,
Ampelocissus Acetosa| Wild Grape| Fruit,grams,100,19,2.40,0.00,0.5,,,,,,,,,,,,
Ampelocissus Frutescens| Native Grape| Fruit,grams,100,50,4.00,0.00,3.8,,,,,,,,,,,,
Ampelocissus Sp.| Wild Grape| Fruit,grams,100,31,2.10,0.00,2.5,,,,,,,,,,,,
Amphibolurus Sp.| Dragon Lizard| Fat,grams,100,546,4.00,0.00,59.9,,,,,,,,,,,,
Amphibolurus Sp.| Dragon Lizard| Flesh And Skin Cooked,grams,100,186,30.20,0.00,7.2,,,,,,,,,,,,
Amphibolurus Sp.| Dragon Lizard| Liver,grams,100,213,11.80,0.00,18.7,,,,,,,,,,,,
Amyema Sp.| Mistletoe| Fruit,grams,100,41,2.20,0.00,3.6,,,,,,,,,,,,
Anacardium Occidentaie| Cashew Fruit| Fruit,grams,100,8,0.80,0.00,0.1,,,,,,,,,,,,
Anchovy| Canned In Oil| Drained,grams,100,182,25.40,0.00,8.9,,,,,,,,,,,,
Anseranus Semipalmata| Magpie Goose| Egg,grams,100,204,10.10,0.00,18.4,,,,,,,,,,,,
Anseranus Semipalmata| Magpie Goose| Flesh,grams,100,139,24.20,0.00,4.6,,,,,,,,,,,,
Anseranus Semipalmata| Magpie Goose| Liver,grams,100,115,22.10,0.00,2.9,,,,,,,,,,,,
Antidesma Bunis| Wild Cherry| Fruit,grams,100,3,0.70,0.00,0,,,,,,,,,,,,
Antidesma Ghaesembilla| Currant Tree| Fruit,grams,100,18,1.40,0.00,0.8,,,,,,,,,,,,
Antidesma Parvifolia| Fruit,grams,100,7,1.60,0.00,0.1,,,,,,,,,,,,
Aponogeton Elongatus| Tuber,grams,100,53,4.60,0.00,0.6,,,,,,,,,,,,
Apple| Bonza| Raw| Unpeeled,grams,100,58,0.30,11.50,0.3,,,,,,,,,,,,
Apple| Dried,grams,100,309,1.30,67.40,0.3,,,,,,,,,,,,
Apple| Fuji| Raw| Unpeeled,grams,100,59,0.30,12.10,0.3,,,,,,,,,,,,
Apple| Golden Delicious| Raw| Unpeeled,grams,100,49,0.30,10.80,0,,,,,,,,,,,,
Apple| Granny-Smith| Baked| Unpeeled,grams,100,52,0.40,10.30,0.2,,,,,,,,,,,,
Apple| Granny-Smith| Raw| Unpeeled,grams,100,49,0.30,10.70,0,,,,,,,,,,,,
Apple| Green| Raw| Unpeeled,grams,100,49,0.30,10.60,0,,,,,,,,,,,,
Apple| Jonathon| Raw,grams,100,54,0.30,11.90,0,,,,,,,,,,,,
Apple| Pink Lady| Raw| Unpeeled,grams,100,59,0.30,11.90,0.4,,,,,,,,,,,,
Apple| Red Delicious| Unpeeled,grams,100,56,0.30,12.80,0,,,,,,,,,,,,
Apple| Red| Raw| Unpeeled,grams,100,57,0.30,12.20,0.2,,,,,,,,,,,,
Apricot| Canned In Artificially Sweetened Liquid,grams,100,26,0.50,4.30,0,,,,,,,,,,,,
Apricot| Canned In Artificially Sweetened Liquid| Drained,grams,100,28,0.80,3.90,0,,,,,,,,,,,,
