20091215223110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source :  Swiss Food Composition Database V2.0 - ETH Zurich & Federal Office of Public Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abricot| frais,g,100,44.10,0.80,12.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,
Abricot| sec,g,100,216.00,5.00,65.60,0.50,,,,,,,,,,,,,,,,,,,,,,,,
Agneu| côtelette| crue,g,100,213.06,18.27,0.00,15.55,,,,,,,,,,,,,,,,,,,,,,,,
Agneu| filet| cru,g,100,112.20,20.40,0.00,3.40,,,,,,,,,,,,,,,,,,,,,,,,
Agneu| gigot| cru,g,100,172.93,19.63,0.00,10.49,,,,,,,,,,,,,,,,,,,,,,,,
Ail| frais,g,100,130.50,7.00,27.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,
Airelle rouge| frâiche,g,100,34.00,0.30,10.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,
Amande,g,100,575.50,19.00,19.50,53.50,,,,,,,,,,,,,,,,,,,,,,,,
Amande (amande douce)| grillée| salée,g,100,581.60,19.98,19.93,52.67,,,,,,,,,,,,,,,,,,,,,,,,
Amidon de blé (Amidon de froment),g,100,345.90,0.40,86.96,0.14,,,,,,,,,,,,,,,,,,,,,,,,
Ananas| frais,g,100,48.60,0.40,12.70,0.20,,,,,,,,,,,,,,,,,,,,,,,,
Appenzeller quart-gras,g,100,238.08,33.80,0.07,11.40,,,,,,,,,,,,,,,,,,,,,,,,
Appenzeller| gras,g,100,386.26,24.80,0.44,31.70,,,,,,,,,,,,,,,,,,,,,,,,
Asperge| crue,g,100,23.80,2.20,5.00,0.20,,,,,,,,,,,,,,,,,,,,,,,,
Aubergine| crue,g,100,18.20,1.00,5.50,0.20,,,,,,,,,,,,,,,,,,,,,,,,
Avocat| frais,g,100,138.20,1.80,3.80,14.20,,,,,,,,,,,,,,,,,,,,,,,,
Babeurre,g,100,33.34,3.20,4.01,0.50,,,,,,,,,,,,,,,,,,,,,,,,
Babeurre aux fruits| non sucré,g,100,34.77,3.07,4.62,0.49,,,,,,,,,,,,,,,,,,,,,,,,
